Radius (nm),Exchange Interaction (kJ/m3),DM Interaction (kJ/m3),Demagnetization (kJ/m3),Total Energy (kJ/m3)
0.0,28.044747855582678,-91.76325066108674,-1.838176827361247,-65.55667963286531
0.53,28.04474785558268,-91.76325066108673,-1.838176827361247,-65.5566796328653
1.06,28.120165522757915,-91.7999328417505,-1.830411509230437,-65.51017882822303
1.59,28.22052299123541,-91.84834799825302,-1.8200628997374666,-65.4478879067551
2.12,28.377327679333035,-91.92022361862271,-1.803882692277082,-65.34677863156675
2.6500000000000004,28.56411013805157,-92.00362600704135,-1.7845699535741153,-65.22408582256388
3.18,28.80417741803158,-92.10376146829483,-1.7598281737142858,-65.05941222397756
3.7100000000000004,29.076698399063662,-92.2129821490224,-1.7317653030628157,-64.86804905302156
4.24,29.402895947679685,-92.33578078440716,-1.6985869419708168,-64.63147177869828
4.7700000000000005,29.764422881277888,-92.46655260965039,-1.6620475473856036,-64.36417727575811
5.300000000000001,30.175126848919756,-92.5978216409226,-1.62067064998076,-64.04336544198361
5.83,30.620028649236925,-92.72884684336026,-1.5759685747673435,-63.68478676889069
6.36,31.116009512758808,-92.856833741462,-1.5267049441096765,-63.26752917281287
6.890000000000001,31.64886724654472,-92.98241289161592,-1.4742053368055663,-62.80775098187677
7.420000000000001,32.232313640842776,-93.09842789758665,-1.4175534492334305,-62.2836677059773
7.95,32.85297298100392,-93.20691890447476,-1.35789155987989,-61.71183748335073
8.48,33.52339132062178,-93.2987796354416,-1.2945586536716462,-61.06994696849144
9.010000000000002,34.2308439225562,-93.37755596861527,-1.2285306778158123,-60.37524272387489
9.540000000000001,34.98952309659521,-93.43825795912315,-1.1594961539278772,-59.60823101645582
10.07,35.78624803251699,-93.48418646029111,-1.088246568140342,-58.78618499591446
10.600000000000001,36.627036741636864,-93.50160413289919,-1.014928613419234,-57.889496004681526
11.13,37.50053125001429,-93.49636991296829,-0.9401038176125113,-56.93594248056651
11.66,38.4125111558095,-93.4590443572382,-0.864217836708,-55.91075103813671
12.19,39.352585424679205,-93.3966376691986,-0.7876186358303503,-54.83167088034972
12.72,40.322196184603065,-93.30024762504442,-0.7112143279754354,-53.68926576841679
13.250000000000002,41.31220773909228,-93.17716517956218,-0.6351097066872253,-52.50006714715714
13.780000000000001,42.31740778601764,-93.01550994604145,-0.5604611884390275,-51.25856334846286
14.31,43.33102613676139,-92.82384550708113,-0.48711784835579963,-49.97993721867553
14.840000000000002,44.34627609141845,-92.59612319412457,-0.4164122996615398,-48.66625940236764
15.370000000000001,45.35831159743824,-92.34052467198514,-0.34797747530964657,-47.330190549856546
15.9,46.35858650246428,-92.05507265526649,-0.28322109630410164,-45.97970724910628
16.430000000000003,47.34467599518822,-91.7468715208621,-0.22156821990094025,-44.62376374557482
16.96,48.30883029808865,-91.4198162674479,-0.16421964358614913,-43.27520561294539
17.49,49.25099948263048,-91.07951179285358,-0.11047458660743534,-41.938986896830535
18.020000000000003,50.164779765283534,-90.73407551121133,-0.06124898848943205,-40.63054473441723
18.55,51.0521629516696,-90.38720813010764,-0.015780670304664766,-39.35082584874271
19.080000000000002,51.9087355994796,-90.05015715367875,0.025476343689390054,-38.115945210509764
19.610000000000003,52.73785959463227,-89.72414343032825,0.06324625291216496,-36.923037582783806
20.14,53.53502592641375,-89.4192985972429,0.09756156669563415,-35.78671110413352
20.67,54.30509614231331,-89.13498390184822,0.12901905957876186,-34.700868699956146
21.200000000000003,55.04595484142591,-88.884052268669,0.15811470466421962,-33.67998272257888
21.73,55.7630368037752,-88.66313544782692,0.18523584081260316,-32.714862803239114
22.26,56.45404944269498,-88.48269609774486,0.21123266967820667,-31.817413985371676
22.79,57.12461753320103,-88.3376441486724,0.23623648266700745,-30.976790132804354
23.32,57.770861015022284,-88.2362905899042,0.26130751600188246,-30.204122058880028
23.85,58.39857097890128,-88.17195671769998,0.286338286496176,-29.487047452302534
24.38,59.007120402791045,-88.15486997353739,0.31238258681115705,-28.835366983935174
24.910000000000004,59.600995240223085,-88.17663949685664,0.3391225882934578,-28.236521668340092
25.44,60.17619345712855,-88.24447459495701,0.36742025283419305,-27.700860884994274
25.97,60.73575894305615,-88.34854356977495,0.3968404710170546,-27.21594415570175
26.500000000000004,61.27331956289257,-88.49393693861222,0.4278435849730531,-26.7927737907466
27.03,61.790664318848755,-88.66997654011124,0.45998638308781953,-26.419325838174665
27.560000000000002,62.27861769667662,-88.8809467610427,0.49327629203259904,-26.10905277233348
28.090000000000003,62.738407356253525,-89.11623640356889,0.5273325295675833,-25.850496517747768
28.62,63.15745596448026,-89.37715231075818,0.561677862172205,-25.6580184841057
29.150000000000002,63.53740205495753,-89.65418674714056,0.5960814965689006,-25.52070319561413
29.680000000000003,63.86427752533597,-89.94787921615475,0.6296490620591068,-25.453952628759676
30.210000000000004,64.14106914383997,-90.25073033639775,0.6623642437867446,-25.447296948771044
30.740000000000002,64.35279904623113,-90.56182144700242,0.6929724966787488,-25.516049904092533
31.270000000000003,64.50410091147101,-90.87581461902506,0.7216864024930985,-25.650027305060938
31.8,64.58042961811263,-91.18920813891256,0.7469636237245167,-25.86181489707542
32.33,64.58815751608714,-91.49904335005441,0.769265757988051,-26.141620075979215
32.86000000000001,64.5133714360796,-91.79895448061066,0.7869454804696133,-26.49863756406145
33.39,64.36431531031536,-92.0880522098955,0.8006751932368678,-26.92306170634327
33.92,64.1277256299923,-92.35609227525339,0.8087880038078911,-27.4195786414532
34.45,63.81407742732328,-92.6042211081008,0.8121489451597514,-27.977994735617788
34.98,63.412731498584655,-92.81985437956993,0.809237523995392,-28.597885356989895
35.510000000000005,62.935787317998255,-93.00627682236968,0.8010181377944464,-29.26947136657698
36.040000000000006,62.376063752535124,-93.14904613771448,0.7861367049102094,-29.98684568026915
36.57,61.74723494130388,-93.25324600848273,0.7656385690273191,-30.74037249815154
37.1,61.04553651213542,-93.30391907333748,0.7384544668246724,-31.519928094377388
37.63,60.28520983023793,-93.30771433676101,0.7056284871676927,-32.316876019355384
